"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Sheridan Beach","Sheridan Beach","WA","Washington","53033","King","47.7448","-122.2882","","","2013.0","point","False","America/Los_Angeles","98155","1840037884"
"Emden","Emden","WA","Washington","53001","Adams","47.1046","-118.1227","","","0.0","point","False","America/Los_Angeles","99169","1840033749"
"Markham","Markham","WA","Washington","53027","Grays Harbor","46.9155","-123.9814","","","47.4","polygon","False","America/Los_Angeles","98520","1840017359"
"Eltopia","Eltopia","WA","Washington","53021","Franklin","46.4587","-119.0172","","","79.4","point","False","America/Los_Angeles","99330","1840037650"
"Stevenson","Stevenson","WA","Washington","53059","Skamania","45.6943","-121.8932","1555","1555","364","polygon","True","America/Los_Angeles","98648","1840021180"
"Greenwater","Greenwater","WA","Washington","53053","Pierce","47.1465","-121.6320","","","55.3","polygon","False","America/Los_Angeles","98022","1840017343"
"Copalis Beach","Copalis Beach","WA","Washington","53027","Grays Harbor","47.1205","-124.1722","","","111.7","polygon","False","America/Los_Angeles","98535 98536","1840017356"
"Roosevelt","Roosevelt","WA","Washington","53061","Snohomish","47.8923","-122.0123","","","106.3","point","False","America/Los_Angeles","98290","1840037586"
"La Crosse","La Crosse","WA","Washington","53075","Whitman","46.8014","-117.9026","324","324","146","polygon","True","America/Los_Angeles","99143","1840037498"
"Summit","Summit","WA","Washington","53053","Pierce","47.1694","-122.3628","","","647.3","polygon","False","America/Los_Angeles","98371 98373 98446","1840018456"
"Ohop","Ohop","WA","Washington","53053","Pierce","46.9457","-122.1907","","","2.7","point","False","America/Los_Angeles","98360","1840037801"
"Malden","Malden","WA","Washington","53075","Whitman","47.2296","-117.4731","209","209","122","polygon","True","America/Los_Angeles","99149","1840022313"
"Beverly","Beverly","WA","Washington","53025","Grant","46.8368","-119.9331","","","205.8","point","False","America/Los_Angeles","99321","1840037491"
"Prosser","Prosser","WA","Washington","53005","Benton","46.2066","-119.7662","6264","6264","528","polygon","True","America/Los_Angeles","99350","1840019890"
"Lake Roesiger","Lake Roesiger","WA","Washington","53061","Snohomish","47.9839","-121.9129","","","11.9","polygon","False","America/Los_Angeles","98290","1840037853"
"Fern Prairie","Fern Prairie","WA","Washington","53011","Clark","45.6370","-122.3963","","","172.1","polygon","False","America/Los_Angeles","98607","1840023890"
"Maple Valley","Maple Valley","WA","Washington","53033","King","47.3660","-122.0369","25758","25758","1663","polygon","True","America/Los_Angeles","98038","1840019828"
"Gifford","Gifford","WA","Washington","53065","Stevens","48.3063","-118.1464","","","2.2","point","False","America/Los_Angeles","99131","1840037767"
"Auburn","Auburn","WA","Washington","53033","King","47.3041","-122.2110","80776","80776","1057","polygon","True","America/Los_Angeles","98001 98002 98092","1840018416"
"Burton","Burton","WA","Washington","53033","King","47.3890","-122.4607","","","438.4","point","False","America/Los_Angeles","98070","1840037625"
"Kewa","Kewa","WA","Washington","53019","Ferry","48.2010","-118.2786","","","0.7","point","False","America/Los_Angeles","99138","1840033740"
"Carrolls","Carrolls","WA","Washington","53015","Cowlitz","46.0715","-122.8623","","","126.6","point","False","America/Los_Angeles","98626","1840037627"
"Bayne","Bayne","WA","Washington","53033","King","47.2951","-121.9096","","","10.2","point","False","America/Los_Angeles","98022","1840037746"
"East Cathlamet","East Cathlamet","WA","Washington","53069","Wahkiakum","46.1968","-123.3580","","","636.3","polygon","False","America/Los_Angeles","98612","1840037849"
"Purdy","Purdy","WA","Washington","53053","Pierce","47.3938","-122.6114","","","379.3","polygon","False","America/Los_Angeles","98332","1840023838"
"Kapowsin","Kapowsin","WA","Washington","53053","Pierce","46.9727","-122.2272","","","55.4","polygon","False","America/Los_Angeles","98360 98338 98344","1840023832"
"Ketron","Ketron","WA","Washington","53053","Pierce","47.1569","-122.6343","","","1.9","polygon","False","America/Los_Angeles","98388","1840037558"
"Connell","Connell","WA","Washington","53021","Franklin","46.6626","-118.8404","5360.0","5535","275","polygon","True","America/Los_Angeles","99326","1840018479"
"Lincoln","Lincoln","WA","Washington","53043","Lincoln","47.8290","-118.4150","","","18.3","point","False","America/Los_Angeles","99147","1840037499"
"Clear Lake","Clear Lake","WA","Washington","53057","Skagit","48.4561","-122.2378","","","370.7","polygon","False","America/Los_Angeles","98235 98284 98273","1840023932"
"Kittitas","Kittitas","WA","Washington","53037","Kittitas","46.9837","-120.4192","1491","1491","729","polygon","True","America/Los_Angeles","98934 98926","1840019843"
"Bucoda","Bucoda","WA","Washington","53067","Thurston","46.7968","-122.8680","583","583","401","polygon","True","America/Los_Angeles","98530","1840021143"
"Ardenvoir","Ardenvoir","WA","Washington","53007","Chelan","47.7373","-120.3690","","","83.7","point","False","America/Los_Angeles","98811","1840037742"
"Ellisport","Ellisport","WA","Washington","53033","King","47.4204","-122.4354","","","329.3","point","False","America/Los_Angeles","98070","1840037649"
"Bainbridge Island","Bainbridge Island","WA","Washington","53035","Kitsap","47.6439","-122.5434","24522","24522","342","polygon","True","America/Los_Angeles","98110 98061","1840018409"
"Danville","Danville","WA","Washington","53019","Ferry","48.9938","-118.5068","","","13.7","polygon","False","America/Los_Angeles","99121","1840037761"
"Hazelwood","Hazelwood","WA","Washington","53033","King","47.5509","-122.1915","","","781.7","point","False","America/Los_Angeles","98006","1840037663"
"Holly","Holly","WA","Washington","53035","Kitsap","47.5576","-122.9785","","","23.6","point","False","America/Los_Angeles","98380","1840037775"
"Valley","Valley","WA","Washington","53065","Stevens","48.1730","-117.7245","","","111.2","polygon","False","America/Los_Angeles","99181","1840025241"
"Republic","Republic","WA","Washington","53019","Ferry","48.6477","-118.7326","1062","1062","274","polygon","True","America/Los_Angeles","99166","1840019766"
"Odessa","Odessa","WA","Washington","53043","Lincoln","47.3326","-118.6895","876","876","417","polygon","True","America/Los_Angeles","99159","1840022295"
"Edgewood","Edgewood","WA","Washington","53053","Pierce","47.2309","-122.2832","11213","11213","515","polygon","True","America/Los_Angeles","98372 98371","1840019852"
"Burlington","Burlington","WA","Washington","53057","Skagit","48.4677","-122.3298","8783","8783","792","polygon","True","America/Los_Angeles","98233","1840018367"
"Rice","Rice","WA","Washington","53065","Stevens","48.4288","-118.1703","","","13.4","point","False","America/Los_Angeles","99167","1840037810"
"Marengo","Marengo","WA","Washington","53001","Adams","47.0257","-118.1886","","","0.9","point","False","America/Los_Angeles","99169","1840033751"
"Cusick","Cusick","WA","Washington","53051","Pend Oreille","48.3328","-117.2962","217","217","161","polygon","True","America/Los_Angeles","99119","1840021060"
"Virginia","Virginia","WA","Washington","53035","Kitsap","47.7073","-122.6374","","","327.7","point","False","America/Los_Angeles","98370","1840037724"
"Concrete","Concrete","WA","Washington","53057","Skagit","48.5371","-121.7512","729","729","241","polygon","True","America/Los_Angeles","98237","1840022283"
"Langley","Langley","WA","Washington","53029","Island","48.0337","-122.4084","1124","1124","430","polygon","True","America/Los_Angeles","98260","1840019780"
"Othello","Othello","WA","Washington","53001","Adams","46.8222","-119.1651","12375.0","8132","790","polygon","True","America/Los_Angeles","99344","1840019862"
"North City","North City","WA","Washington","53033","King","47.7557","-122.3135","","","2860.9","point","False","America/Los_Angeles","98155","1840037689"
"Hazel Dell","Hazel Dell","WA","Washington","53011","Clark","45.6797","-122.6553","","","1388.9","polygon","False","America/Los_Angeles","98665","1840037662"
"Colfax","Colfax","WA","Washington","53075","Whitman","46.9031","-117.3394","2811.0","2900","299","polygon","True","America/Los_Angeles","99111","1840018458"
"Metaline","Metaline","WA","Washington","53051","Pend Oreille","48.8540","-117.3899","178","178","227","polygon","True","America/Los_Angeles","99152","1840022276"
"Randle","Randle","WA","Washington","53041","Lewis","46.5351","-121.9570","","","29.6","point","False","America/Los_Angeles","98377","1840037809"
"Millwood","Millwood","WA","Washington","53063","Spokane","47.6856","-117.2806","1784","1784","989","polygon","True","America/Los_Angeles","99206 99212","1840022289"
"Snoqualmie Pass","Snoqualmie Pass","WA","Washington","53037","Kittitas","47.4014","-121.4110","","","78.0","polygon","False","America/Los_Angeles","98068","1840037862"
"Bangor","Bangor","WA","Washington","53035","Kitsap","47.7209","-122.7460","","","240.9","point","False","America/Los_Angeles","98383","1840037618"
"Thorp","Thorp","WA","Washington","53037","Kittitas","47.0655","-120.6709","","","95.3","polygon","False","America/Los_Angeles","98946","1840018439"
"Tahlequah","Tahlequah","WA","Washington","53033","King","47.3326","-122.5073","","","179.8","point","False","America/Los_Angeles","98070","1840037596"
"Prescott","Prescott","WA","Washington","53071","Walla Walla","46.2988","-118.3125","304","304","292","polygon","True","America/Los_Angeles","99348","1840021175"
"Buckley","Buckley","WA","Washington","53053","Pierce","47.1615","-122.0200","4819","4819","482","polygon","True","America/Los_Angeles","98321","1840018455"
"Dalkena","Dalkena","WA","Washington","53051","Pend Oreille","48.2449","-117.2377","","","45.3","point","False","America/Los_Angeles","99156","1840037841"
"Leland","Leland","WA","Washington","53031","Jefferson","47.8918","-122.8866","","","7.1","point","False","America/Los_Angeles","98376","1840037785"
"Fruitvale","Fruitvale","WA","Washington","53077","Yakima","46.6179","-120.5531","","","513.9","point","False","America/Los_Angeles","98902","1840037656"
"Port Hadlock","Port Hadlock","WA","Washington","53031","Jefferson","48.0318","-122.7582","","","187.6","point","False","America/Los_Angeles","98339","1840037773"
"University Place","University Place","WA","Washington","53053","Pierce","47.2148","-122.5460","33401","33401","1547","polygon","True","America/Los_Angeles","98466 98467 98464","1840021130"
"Morton","Morton","WA","Washington","53041","Lewis","46.5575","-122.2815","1159","1159","544","polygon","True","America/Los_Angeles","98356","1840019882"
"Deep River","Deep River","WA","Washington","53069","Wahkiakum","46.3521","-123.6984","","","8.6","polygon","False","America/Los_Angeles","98638","1840023929"
"Elberton","Elberton","WA","Washington","53075","Whitman","46.9813","-117.2213","","","5.1","point","False","America/Los_Angeles","99130","1840037648"
"Kingston","Kingston","WA","Washington","53035","Kitsap","47.8014","-122.4989","","","402.1","polygon","False","America/Los_Angeles","98346","1840017338"
"Silverton","Silverton","WA","Washington","53061","Snohomish","48.0784","-121.5671","","","0.1","point","False","America/Los_Angeles","98252","1840033773"
"Vader","Vader","WA","Washington","53041","Lewis","46.4045","-122.9569","643","643","266","polygon","True","America/Los_Angeles","98593","1840021163"
"Donald","Donald","WA","Washington","53077","Yakima","46.4737","-120.3923","","","29.1","polygon","False","America/Los_Angeles","98951","1840023853"
"Miles","Miles","WA","Washington","53043","Lincoln","47.9107","-118.2925","","","11.7","point","False","America/Los_Angeles","99122","1840037686"
"Asotin","Asotin","WA","Washington","53003","Asotin","46.3371","-117.0433","1295","1295","483","polygon","True","America/Los_Angeles","99402","1840018500"
"Joyce","Joyce","WA","Washington","53009","Clallam","48.1365","-123.7341","","","48.1","point","False","America/Los_Angeles","98363","1840037779"
"Eagledale","Eagledale","WA","Washington","53035","Kitsap","47.6143","-122.5154","","","447.1","point","False","America/Los_Angeles","98110","1840037643"
"Port Ludlow","Port Ludlow","WA","Washington","53031","Jefferson","47.9101","-122.7006","","","598.8","polygon","False","America/Los_Angeles","98365","1840018388"
"Loomis","Loomis","WA","Washington","53047","Okanogan","48.8235","-119.6398","","","154.6","polygon","False","America/Los_Angeles","98827","1840025235"
"New London","New London","WA","Washington","53027","Grays Harbor","47.0573","-123.9271","","","22.5","point","False","America/Los_Angeles","98550","1840037504"
"Desert Aire","Desert Aire","WA","Washington","53025","Grant","46.6873","-119.9311","","","367.3","polygon","False","America/Los_Angeles","99349","1840037611"
"Poulsbo","Poulsbo","WA","Washington","53035","Kitsap","47.7417","-122.6407","10670","10670","869","polygon","True","America/Los_Angeles","98370","1840019822"
"Cedonia","Cedonia","WA","Washington","53065","Stevens","48.1538","-118.1692","","","22.2","point","False","America/Los_Angeles","99137","1840037537"
"Union","Union","WA","Washington","53045","Mason","47.3475","-123.0952","","","196.1","polygon","False","America/Los_Angeles","98592","1840025253"
"Suquamish","Suquamish","WA","Washington","53035","Kitsap","47.7237","-122.5830","","","1418.8","polygon","False","America/Los_Angeles","98392 98370","1840018411"
"Deep Creek","Deep Creek","WA","Washington","53063","Spokane","47.6429","-117.7122","","","20.5","point","False","America/Los_Angeles","99029","1840023917"
"Yoman","Yoman","WA","Washington","53053","Pierce","47.1865","-122.7062","","","15.4","point","False","America/Los_Angeles","98004","1840023916"
"Cordell","Cordell","WA","Washington","53047","Okanogan","48.8665","-119.4120","","","7.7","point","False","America/Los_Angeles","98844","1840037757"
"Hoquiam","Hoquiam","WA","Washington","53027","Grays Harbor","46.9863","-123.9023","8500","8500","344","polygon","True","America/Los_Angeles","98550","1840019845"
"Hay","Hay","WA","Washington","53075","Whitman","46.6788","-117.9158","","","0.6","point","False","America/Los_Angeles","99136","1840033756"
"Nespelem","Nespelem","WA","Washington","53047","Okanogan","48.1670","-118.9722","313","313","622","polygon","True","America/Los_Angeles","99155","1840022268"
"Ephrata","Ephrata","WA","Washington","53025","Grant","47.3119","-119.5344","7275.0","8017","298","polygon","True","America/Los_Angeles","98823","1840019813"
"Kent","Kent","WA","Washington","53033","King","47.3887","-122.2128","128458","128458","1470","polygon","True","America/Los_Angeles","98031 98030 98032 98042 98035 98064 98089","1840018424"
"Mukilteo","Mukilteo","WA","Washington","53061","Snohomish","47.9094","-122.3035","21469","21469","1323","polygon","True","America/Los_Angeles","98275","1840019793"
"Boise","Boise","WA","Washington","53033","King","47.1804","-122.0157","","","118.0","point","False","America/Los_Angeles","98022","1840037748"
"Kirkland","Kirkland","WA","Washington","53033","King","47.6997","-122.2041","88630","88630","1921","polygon","True","America/Los_Angeles","98034 98033 98011 98083","1840019836"
"Waitsburg","Waitsburg","WA","Washington","53071","Walla Walla","46.2696","-118.1510","1195","1195","388","polygon","True","America/Los_Angeles","99361","1840021173"
"Ridgecrest","Ridgecrest","WA","Washington","53033","King","47.7473","-122.3179","","","2379.9","point","False","America/Los_Angeles","98586 98577","1840023907"
"Freeman","Freeman","WA","Washington","53063","Spokane","47.5182","-117.1958","","","7.3","point","False","America/Los_Angeles","99036","1840037655"
"Dallesport","Dallesport","WA","Washington","53039","Klickitat","45.6316","-121.1749","","","220.6","polygon","False","America/Los_Angeles","98617 98635","1840018525"
"Redmond","Redmond","WA","Washington","53033","King","47.6762","-122.1166","64291","64291","1506","polygon","True","America/Los_Angeles","98052 98073","1840019835"
"Wilkeson","Wilkeson","WA","Washington","53053","Pierce","47.1034","-122.0495","507","507","420","polygon","True","America/Los_Angeles","98396","1840022310"
"Sisco Heights","Sisco Heights","WA","Washington","53061","Snohomish","48.1188","-122.1076","","","102.6","polygon","False","America/Los_Angeles","98223","1840037510"
"Lewisville","Lewisville","WA","Washington","53011","Clark","45.8127","-122.5144","","","123.3","polygon","False","America/Los_Angeles","98604","1840037855"
"Kennard Corner","Kennard Corner","WA","Washington","53061","Snohomish","47.8201","-122.2076","","","2936.7","point","False","America/Los_Angeles","98012","1840037671"
"Benge","Benge","WA","Washington","53001","Adams","46.9093","-118.1025","","","10.5","point","False","America/Los_Angeles","99105","1840037619"
"Granger","Granger","WA","Washington","53077","Yakima","46.3455","-120.1925","3542.0","3772","841","polygon","True","America/Los_Angeles","98932","1840019872"
"Yarrow Point","Yarrow Point","WA","Washington","53033","King","47.6452","-122.2179","1126","1126","1190","polygon","True","America/Los_Angeles","98004","1840022300"
"Lost Creek","Lost Creek","WA","Washington","53051","Pend Oreille","48.6094","-117.3636","","","15.2","point","False","America/Los_Angeles","99119","1840037790"
"Moxee City","Moxee City","WA","Washington","53077","Yakima","46.5537","-120.3831","","","2666.3","point","True","America/Los_Angeles","98936","1840037687"
"Hockinson","Hockinson","WA","Washington","53011","Clark","45.7301","-122.4833","","","237.5","polygon","False","America/Los_Angeles","98606","1840017399"
"Oakville","Oakville","WA","Washington","53027","Grays Harbor","46.8403","-123.2333","684","684","498","polygon","True","America/Los_Angeles","98568","1840019848"
"Tukwila","Tukwila","WA","Washington","53033","King","47.4748","-122.2727","20144","20144","847","polygon","True","America/Los_Angeles","98108 98178 98168 98188 98138 98190","1840021120"
"Mabana","Mabana","WA","Washington","53029","Island","48.0945","-122.4151","","","209.0","point","False","America/Los_Angeles","98282","1840037567"
"Kangley","Kangley","WA","Washington","53033","King","47.3618","-121.8801","","","49.9","point","False","America/Los_Angeles","98051","1840037782"
"Clallam Bay","Clallam Bay","WA","Washington","53009","Clallam","48.2536","-124.2579","","","313.1","polygon","False","America/Los_Angeles","98326","1840025247"
"Newport","Newport","WA","Washington","53051","Pend Oreille","48.1790","-117.0549","2635.0","2140","624","polygon","True","America/Los_Angeles","99156","1840019765"
"Enetai","Enetai","WA","Washington","53035","Kitsap","47.5885","-122.6058","","","540.5","polygon","False","America/Los_Angeles","98310","1840023794"
"Clearview","Clearview","WA","Washington","53061","Snohomish","47.8292","-122.1452","","","249.5","polygon","False","America/Los_Angeles","98296 98012 98072","1840023773"
"Sahalee","Sahalee","WA","Washington","53033","King","47.6348","-122.0554","","","602.5","point","False","America/Los_Angeles","98074","1840037883"
"Yelm","Yelm","WA","Washington","53067","Thurston","46.9398","-122.6261","16504.0","9125","618","polygon","True","America/Los_Angeles","98576 98597","1840021146"
"Midway","Midway","WA","Washington","53053","Pierce","47.3048","-122.5896","","","1083.6","point","False","America/Los_Angeles","98335","1840037574"
"Olympia","Olympia","WA","Washington","53067","Thurston","47.0418","-122.8959","196078.0","51609","1094","polygon","True","America/Los_Angeles","98501 98502 98506 98504 98507 98508 98511","1840019865"
"Endicott","Endicott","WA","Washington","53075","Whitman","46.9282","-117.6868","305","305","397","polygon","True","America/Los_Angeles","99125","1840021137"
"Lind","Lind","WA","Washington","53001","Adams","46.9703","-118.6162","556","556","193","polygon","True","America/Los_Angeles","99341","1840021134"
"Fife","Fife","WA","Washington","53053","Pierce","47.2328","-122.3517","10154","10154","684","polygon","True","America/Los_Angeles","98424","1840019853"
"Newport Hills","Newport Hills","WA","Washington","53033","King","47.5409","-122.1765","","","1462.4","point","False","America/Los_Angeles","98056","1840037688"
"Upper Mill","Upper Mill","WA","Washington","53033","King","47.1934","-121.9271","","","0.0","point","False","America/Los_Angeles","98022","1840033779"
"Upper Preston","Upper Preston","WA","Washington","53033","King","47.5051","-121.9076","","","153.1","point","False","America/Los_Angeles","98027","1840037827"
"Pateros","Pateros","WA","Washington","53047","Okanogan","48.0536","-119.8994","701","701","536","polygon","True","America/Los_Angeles","98846","1840019763"
"Nordland","Nordland","WA","Washington","53031","Jefferson","48.0509","-122.6910","","","72.6","point","False","America/Los_Angeles","98358","1840037579"
"Tyler","Tyler","WA","Washington","53063","Spokane","47.4360","-117.7835","","","9.9","point","False","America/Los_Angeles","99004","1840037721"
"Camden","Camden","WA","Washington","53051","Pend Oreille","48.0474","-117.2399","","","18.4","point","False","America/Los_Angeles","99009","1840037533"
"Palisades","Palisades","WA","Washington","53017","Douglas","47.4190","-119.9145","","","0.5","point","False","America/Los_Angeles","98845","1840033782"
"Rockport","Rockport","WA","Washington","53057","Skagit","48.4854","-121.6065","","","144.1","polygon","False","America/Los_Angeles","98283","1840018365"
"Port Orchard","Port Orchard","WA","Washington","53035","Kitsap","47.5160","-122.6615","13997","13997","559","polygon","True","America/Los_Angeles","98366 98367","1840019821"
"Preston","Preston","WA","Washington","53033","King","47.5237","-121.9271","","","160.2","point","False","America/Los_Angeles","98027","1840037806"
"Tieton","Tieton","WA","Washington","53077","Yakima","46.7026","-120.7560","1294","1294","570","polygon","True","America/Los_Angeles","98947","1840022319"
"Rochester","Rochester","WA","Washington","53067","Thurston","46.8288","-123.0722","","","437.0","polygon","False","America/Los_Angeles","98579","1840018459"
"Bingen","Bingen","WA","Washington","53039","Klickitat","45.7139","-121.4704","729","729","452","polygon","True","America/Los_Angeles","98605","1840018529"
"Harbour Pointe","Harbour Pointe","WA","Washington","53061","Snohomish","47.8857","-122.3051","","","2484.9","point","False","America/Los_Angeles","98275","1840037871"
"Wellpinit","Wellpinit","WA","Washington","53065","Stevens","47.8879","-117.9880","","","109.9","point","False","America/Los_Angeles","99040","1840037726"
"Glacier","Glacier","WA","Washington","53073","Whatcom","48.8902","-121.9323","","","18.9","polygon","False","America/Los_Angeles","98244","1840017292"
"Farmington","Farmington","WA","Washington","53075","Whitman","47.0887","-117.0464","154","154","164","polygon","True","America/Los_Angeles","99128","1840021140"
"Eastsound","Eastsound","WA","Washington","53055","San Juan","48.6968","-122.9055","","","386.6","point","False","America/Los_Angeles","98245","1840037735"
"Central Park","Central Park","WA","Washington","53027","Grays Harbor","46.9705","-123.7018","","","420.5","polygon","False","America/Los_Angeles","98520","1840017358"
"Bremerton","Bremerton","WA","Washington","53035","Kitsap","47.5436","-122.7122","216480.0","41041","557","polygon","True","America/Los_Angeles","98312 98314 98310 98367 98337","1840018410"
"Friday Harbor","Friday Harbor","WA","Washington","53055","San Juan","48.5324","-123.0656","2407","2407","430","polygon","True","America/Los_Angeles","98250","1840021065"
"Carnation","Carnation","WA","Washington","53033","King","47.6446","-121.9048","2164","2164","725","polygon","True","America/Los_Angeles","98014","1840018421"
"Lake Shore","Lake Shore","WA","Washington","53011","Clark","45.6911","-122.6911","","","2221.8","polygon","False","America/Los_Angeles","98665 98685","1840037873"
"Houghton","Houghton","WA","Washington","53033","King","47.6609","-122.2060","","","2649.0","point","False","America/Los_Angeles","98033","1840037664"
"Lester","Lester","WA","Washington","53033","King","47.2093","-121.4940","","","0.0","point","False","America/Los_Angeles","98045","1840033765"
"Lake Stevens","Lake Stevens","WA","Washington","53061","Snohomish","48.0029","-122.0960","32785","32785","1424","polygon","True","America/Los_Angeles","98258 98205","1840019794"
"Mineral","Mineral","WA","Washington","53041","Lewis","46.7193","-122.1859","","","160.0","polygon","False","America/Los_Angeles","98355","1840025263"
"Lake Stickney","Lake Stickney","WA","Washington","53061","Snohomish","47.8709","-122.2596","","","1569.6","polygon","False","America/Los_Angeles","98087 98204","1840037894"
"Acme","Acme","WA","Washington","53073","Whatcom","48.7146","-122.2293","","","82.2","polygon","False","America/Los_Angeles","98220","1840017288"
"Oyehut","Oyehut","WA","Washington","53027","Grays Harbor","47.0232","-124.1631","","","108.8","polygon","False","America/Los_Angeles","98550","1840037697"
"Mossyrock","Mossyrock","WA","Washington","53041","Lewis","46.5305","-122.4887","789","789","444","polygon","True","America/Los_Angeles","98564","1840019883"
"Bridgeport","Bridgeport","WA","Washington","53017","Douglas","48.0063","-119.6737","2555","2555","961","polygon","True","America/Los_Angeles","98813","1840018387"
"Fobes Hill","Fobes Hill","WA","Washington","53061","Snohomish","47.9391","-122.1341","","","235.5","polygon","False","America/Los_Angeles","98290","1840037736"
"Rosario","Rosario","WA","Washington","53055","San Juan","48.6487","-122.8760","","","189.8","point","False","America/Los_Angeles","98245","1840037708"
"Brewster","Brewster","WA","Washington","53047","Okanogan","48.1034","-119.7751","2343","2343","785","polygon","True","America/Los_Angeles","98812","1840018359"
"Fox Island","Fox Island","WA","Washington","53053","Pierce","47.2475","-122.6255","","","241.2","polygon","False","America/Los_Angeles","98333","1840037870"
"Canyon Park","Canyon Park","WA","Washington","53061","Snohomish","47.7909","-122.1926","","","1282.8","point","False","America/Los_Angeles","98021","1840037626"
"Rock Island","Rock Island","WA","Washington","53017","Douglas","47.3743","-120.1382","1015","1015","478","polygon","True","America/Los_Angeles","98850","1840019796"
"High Rock","High Rock","WA","Washington","53061","Snohomish","47.8129","-121.9826","","","59.2","point","False","America/Los_Angeles","98272","1840037774"
"Rockford","Rockford","WA","Washington","53063","Spokane","47.4513","-117.1307","477","477","271","polygon","True","America/Los_Angeles","99030","1840021095"
"Erlands Point","Erlands Point","WA","Washington","53035","Kitsap","47.5998","-122.6929","","","1097.5","point","False","America/Los_Angeles","98312","1840037651"
"Montesano","Montesano","WA","Washington","53027","Grays Harbor","47.0102","-123.5858","8494.0","3963","147","polygon","True","America/Los_Angeles","98563","1840019847"
